feature,feature_type
transaction_amount,numeric
transaction_type,categorical
account_balance,numeric
device_type,categorical
location,categorical
merchant_category,categorical
ip_address_flag,numeric
previous_fraudulent_activity,numeric
daily_transaction_count,numeric
avg_transaction_amount_7d,numeric
failed_transaction_count_7d,numeric
card_type,categorical
card_age,numeric
transaction_distance,numeric
authentication_method,categorical
is_weekend,numeric
year,numeric
month,numeric
day,numeric
hour,numeric
day_of_week,numeric
