hour,total_transactions,fraud_transactions,fraud_rate,fraud_rate_pct
0,2089,673,0.3221637146960268,32.21637146960268
1,1996,607,0.30410821643286573,30.410821643286575
2,2155,685,0.31786542923433875,31.786542923433874
3,2095,669,0.31933174224343674,31.933174224343674
4,2046,643,0.3142717497556207,31.42717497556207
5,2058,634,0.3080660835762877,30.806608357628768
6,2053,659,0.3209936678032148,32.09936678032148
7,2024,650,0.3211462450592885,32.11462450592885
8,2101,670,0.3188957639219419,31.88957639219419
9,2000,657,0.3285,32.85
10,2100,685,0.3261904761904762,32.61904761904762
11,2200,722,0.3281818181818182,32.81818181818182
12,2122,677,0.3190386427898209,31.90386427898209
13,2073,685,0.3304389773275446,33.04389773275446
14,2082,679,0.3261287223823247,32.61287223823247
15,2086,683,0.3274209012464046,32.74209012464046
16,2168,704,0.3247232472324723,32.47232472324723
17,2079,676,0.32515632515632514,32.51563251563251
18,2108,687,0.3259013282732448,32.59013282732448
19,2110,663,0.314218009478673,31.4218009478673
20,2098,695,0.3312678741658723,33.12678741658723
21,2068,594,0.2872340425531915,28.723404255319153
22,2091,706,0.33763749402199905,33.763749402199906
23,1998,664,0.33233233233233234,33.233233233233236
