month,total_transactions,fraud_transactions,fraud_rate,fraud_rate_pct
1,4188,1386,0.330945558739255,33.0945558739255
2,3903,1246,0.3192416090187036,31.92416090187036
3,4259,1360,0.31932378492603897,31.932378492603895
4,4106,1310,0.31904529956161715,31.904529956161713
5,4162,1315,0.3159538683325324,31.59538683325324
6,4160,1347,0.32379807692307694,32.37980769230769
7,4213,1354,0.3213861856159506,32.13861856159506
8,4384,1434,0.3270985401459854,32.70985401459854
9,4087,1275,0.31196476633227305,31.196476633227306
10,4164,1343,0.3225264169068204,32.25264169068204
11,4085,1301,0.3184822521419829,31.84822521419829
12,4289,1396,0.3254837957565866,32.54837957565866
