previous_fraudulent_activity,ip_address_flag,failed_transaction_count_7d,transaction_count,fraud_count,fraud_rate
0,0,4,8477,8477,1.0
1,0,4,946,946,1.0
0,1,4,487,487,1.0
1,1,4,44,44,1.0
1,1,3,38,9,0.23684210526315788
1,1,1,43,9,0.20930232558139536
1,1,2,39,8,0.20512820512820512
0,1,1,446,73,0.16367713004484305
0,0,3,8736,1371,0.15693681318681318
1,0,0,937,146,0.15581643543223053
0,1,0,407,63,0.1547911547911548
0,0,0,8614,1329,0.1542837241699559
0,0,1,8493,1310,0.1542446720828918
1,0,3,958,147,0.1534446764091858
0,1,3,484,74,0.15289256198347106
1,0,1,937,139,0.14834578441835647
0,0,2,8470,1256,0.14828807556080284
1,0,2,922,124,0.13449023861171366
0,1,2,466,51,0.10944206008583691
1,1,0,56,4,0.07142857142857142
