rows,fraud_count,fraud_rate,predicted_positive_count,review_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,year_month
4188,1386,0.330945558739255,850,0.2029608404966571,0.8720152817574021,1.0,0.6132756132756133,0.7602862254025045,0.8066378066378066,0.7412603315182111,2802,0,536,850,2023-01
3903,1246,0.3192416090187036,769,0.1970279272354599,0.8777863182167563,1.0,0.6171749598715891,0.7632754342431762,0.8085874799357946,0.7393886416548328,2657,0,477,769,2023-02
4259,1360,0.31932378492603897,845,0.1984033810753698,0.8790795961493308,1.0,0.6213235294117647,0.7664399092970522,0.8106617647058824,0.7422439332624339,2899,0,515,845,2023-03
4106,1310,0.31904529956161715,809,0.19702873843156357,0.8779834388699465,1.0,0.6175572519083969,0.7635677206229353,0.8087786259541985,0.7395738130384505,2796,0,501,809,2023-04
4162,1315,0.3159538683325324,833,0.20014416146083613,0.8841902931283037,1.0,0.6334600760456274,0.7756052141527002,0.8167300380228137,0.7492697829173237,2847,0,482,833,2023-05
4160,1347,0.32379807692307694,831,0.1997596153846154,0.8759615384615385,1.0,0.6169265033407573,0.7630853994490359,0.8084632516703787,0.7409649648792188,2813,0,516,831,2023-06
4213,1354,0.3213861856159506,831,0.19724661761215287,0.8758604319962022,1.0,0.6137370753323486,0.7606407322654463,0.8068685376661743,0.7378766433361463,2859,0,523,831,2023-07
4384,1434,0.3270985401459854,887,0.20232664233576642,0.875228102189781,1.0,0.6185495118549512,0.7643257216716932,0.8092747559274756,0.7433214096651701,2950,0,547,887,2023-08
4087,1275,0.31196476633227305,781,0.19109371176902373,0.8791289454367507,1.0,0.6125490196078431,0.7597276264591439,0.8062745098039216,0.7334200741710925,2812,0,494,781,2023-09
4164,1343,0.3225264169068204,806,0.1935638808837656,0.8710374639769453,1.0,0.6001489203276247,0.7501163331782225,0.8000744601638123,0.7291114563506794,2821,0,537,806,2023-10
4085,1301,0.3184822521419829,851,0.2083231334149327,0.8898408812729498,1.0,0.6541122213681784,0.7908921933085502,0.8270561106840892,0.7642713400952286,2784,0,450,851,2023-11
4289,1396,0.3254837957565866,861,0.20074609466076007,0.8752622989041735,1.0,0.6167621776504298,0.7629596809924679,0.808381088825215,0.7414998787462563,2893,0,535,861,2023-12
