feature,feature_type,unique_values,non_fraud_mean,fraud_mean,mean_difference,target_correlation,raw_univariate_roc_auc,oriented_univariate_roc_auc,minimum_group_fraud_rate,maximum_group_fraud_rate,fraud_rate_range,signal_score
card_type,categorical,4,,,,,,,0.14159891598915988,0.15854665565648224,0.016947739667322353,0.016947739667322353
transaction_type,categorical,4,,,,,,,0.14631297964631299,0.16178175194568636,0.015468772299373379,0.015468772299373379
authentication_method,categorical,4,,,,,,,0.14323739810347696,0.15711920529801324,0.013881807194536272,0.013881807194536272
location,categorical,5,,,,,,,0.14825828377230246,0.15873666940114847,0.01047838562884601,0.01047838562884601
daily_transaction_count,numeric,14,7.495087926122409,7.3505997818974915,-0.1444881442249173,-0.012812921991823507,0.4897202466793149,0.5102797533206851,,,,0.010279753320685092
avg_transaction_amount_7d,numeric,19080,255.6048103939483,252.48200109051254,-3.1228093034357585,-0.007942815809169581,0.4936573381723422,0.5063426618276579,,,,0.006342661827657858
merchant_category,categorical,5,,,,,,,0.1497425334706488,0.1555462885738115,0.005803755103162694,0.005803755103162694
device_type,categorical,3,,,,,,,0.14999381723754174,0.15559462514127842,0.005600807903736682,0.005600807903736682
hour,numeric,24,11.48113763631005,11.606870229007633,0.12573259269758275,0.006550681974271928,0.5052236383672288,0.5052236383672288,,,,0.005223638367228833
day_of_week,numeric,7,3.01886236368995,2.994547437295529,-0.02431492639442112,-0.004360576181908594,0.4965456456473829,0.5034543543526171,,,,0.003454354352617095
month,numeric,8,4.155761862658414,4.130316248636859,-0.025445614021554874,-0.004370170686167911,0.4965991856456452,0.5034008143543548,,,,0.0034008143543547975
transaction_distance,numeric,23423,2500.671374398271,2513.3242230098144,12.652848611543504,0.003163483053960903,0.502534726541044,0.502534726541044,,,,0.00253472654104403
day,numeric,31,15.27846546812064,15.205834242093784,-0.07263122602685534,-0.002945113082496556,0.4974882335207421,0.5025117664792579,,,,0.002511766479257882
account_balance,numeric,23989,50404.86826996758,50252.135147219204,-152.73312274837372,-0.0019051801493229833,0.4984614950724453,0.5015385049275547,,,,0.0015385049275546958
is_weekend,numeric,2,0.30223990568818154,0.3042529989094875,0.0020130932213059394,0.0015761975049402098,0.501006546610653,0.501006546610653,,,,0.0010065466106530252
previous_fraudulent_activity,numeric,2,0.09824147755182237,0.09623773173391494,-0.0020037458179074374,-0.002424679654783198,0.4989981270910463,0.5010018729089537,,,,0.0010018729089537048
ip_address_flag,numeric,2,0.04971018764122213,0.04798255179934569,-0.0017276358418764348,-0.0028661384761830516,0.4991361820790618,0.5008638179209381,,,,0.000863817920938148
transaction_amount,numeric,14806,99.73984281363592,100.23294711014178,0.4931042965058623,0.0017839774448833539,0.49928339698673996,0.50071660301326,,,,0.0007166030132600421
card_age,numeric,239,120.1147951665193,120.16166848418757,0.04687331766827185,0.0002444377425291488,0.5001795759396443,0.5001795759396443,,,,0.0001795759396443497
