hour,total_transactions,fraud_transactions,fraud_rate_pct,avg_transaction_amount
0,2089,673,32.22,101.76
1,1996,607,30.41,101.74
2,2155,685,31.79,99.59
3,2095,669,31.93,96.96
4,2046,643,31.43,99.6
5,2058,634,30.81,101.75
6,2053,659,32.1,99.09
7,2024,650,32.11,98.14
8,2101,670,31.89,98.58
9,2000,657,32.85,100.3
10,2100,685,32.62,99.55
11,2200,722,32.82,94.76
12,2122,677,31.9,98.77
13,2073,685,33.04,101.71
14,2082,679,32.61,99.79
15,2086,683,32.74,97.95
16,2168,704,32.47,97.3
17,2079,676,32.52,97.41
18,2108,687,32.59,98.82
19,2110,663,31.42,100.77
20,2098,695,33.13,103.16
21,2068,594,28.72,96.96
22,2091,706,33.76,100.91
23,1998,664,33.23,101.0
