user_id,total_transactions,total_transaction_amount,avg_transaction_amount,max_transaction_amount,avg_account_balance,fraud_transactions,fraud_rate_pct,ip_flag_rate_pct,previous_fraud_activity_rate_pct,avg_daily_transaction_count,avg_failed_transaction_count_7d,avg_transaction_distance,distinct_locations,distinct_device_types,distinct_merchant_categories,first_transaction_time,last_transaction_time
USER_7562,6,703.42,117.24,351.94,48308.65,6,100.0,0.0,0.0,7.83,2.67,2253.2,3,2,3,2023-02-16 14:19:00,2023-12-13 21:41:00
USER_2333,5,184.21,36.84,86.14,56334.79,5,100.0,0.0,20.0,7.4,3.2,3334.12,2,3,4,2023-03-21 03:04:00,2023-12-07 16:41:00
USER_4773,5,462.3,92.46,202.92,52210.03,5,100.0,0.0,20.0,6.0,2.4,2044.11,3,2,3,2023-02-07 19:30:00,2023-12-17 13:45:00
USER_9204,5,453.95,90.79,244.34,49569.27,5,100.0,0.0,20.0,6.2,3.2,1950.26,4,3,3,2023-04-07 21:28:00,2023-11-11 02:25:00
USER_1119,4,77.23,19.31,37.57,34658.62,4,100.0,0.0,0.0,9.5,3.0,2877.9,4,3,4,2023-03-10 09:28:00,2023-10-16 17:40:00
USER_1640,4,479.84,119.96,157.37,34578.56,4,100.0,0.0,0.0,9.5,2.25,3140.47,3,2,2,2023-01-20 01:16:00,2023-12-07 23:23:00
USER_2412,4,332.43,83.11,299.67,63844.78,4,100.0,0.0,25.0,8.25,3.0,3922.44,3,3,3,2023-01-13 14:59:00,2023-12-24 05:03:00
USER_3003,4,328.67,82.17,197.73,55204.41,4,100.0,25.0,0.0,6.0,2.0,1857.26,3,3,3,2023-05-01 19:45:00,2023-10-02 11:52:00
USER_3029,4,220.44,55.11,167.48,49826.26,4,100.0,25.0,25.0,8.25,3.25,3666.91,3,3,3,2023-01-27 16:08:00,2023-09-09 15:30:00
USER_3417,4,271.46,67.86,130.14,54423.69,4,100.0,0.0,0.0,6.75,2.5,1969.65,4,2,3,2023-04-29 03:38:00,2023-08-26 11:33:00
USER_5152,4,432.17,108.04,313.57,65406.44,4,100.0,0.0,50.0,6.5,4.0,2166.19,4,2,3,2023-01-31 14:36:00,2023-08-29 13:29:00
USER_5295,4,613.88,153.47,290.21,67580.33,4,100.0,0.0,0.0,12.25,4.0,3050.93,2,3,3,2023-01-21 00:51:00,2023-06-17 19:26:00
USER_6297,4,383.71,95.93,136.58,42415.59,4,100.0,25.0,0.0,9.0,4.0,2130.88,4,1,3,2023-03-19 01:13:00,2023-12-13 00:06:00
USER_7307,4,525.49,131.37,208.22,43005.34,4,100.0,25.0,0.0,4.25,2.25,2586.59,3,3,4,2023-02-02 14:40:00,2023-09-13 20:52:00
USER_1086,3,340.94,113.65,203.58,71731.98,3,100.0,0.0,0.0,8.33,4.0,1394.38,2,2,2,2023-08-25 13:19:00,2023-12-19 05:13:00
USER_1334,3,790.83,263.61,507.97,18800.09,3,100.0,0.0,0.0,11.0,4.0,2860.1,2,3,3,2023-01-14 11:41:00,2023-06-13 09:41:00
USER_1465,3,161.57,53.86,83.12,58063.6,3,100.0,0.0,33.33,6.0,4.0,2401.35,3,2,2,2023-07-02 20:21:00,2023-12-09 22:38:00
USER_1627,3,186.26,62.09,121.55,51222.69,3,100.0,0.0,0.0,9.0,2.33,2158.47,2,2,2,2023-01-08 23:26:00,2023-12-13 16:15:00
USER_1718,3,330.28,110.09,277.37,37256.08,3,100.0,0.0,0.0,7.0,2.0,1490.71,2,2,2,2023-01-10 11:53:00,2023-06-08 19:46:00
USER_1801,3,249.7,83.23,130.79,83956.64,3,100.0,0.0,0.0,8.0,4.0,3001.12,3,1,3,2023-05-13 09:38:00,2023-09-30 06:11:00
USER_1873,3,41.71,13.9,34.1,67462.41,3,100.0,0.0,0.0,5.33,3.33,2206.97,3,3,2,2023-01-01 04:02:00,2023-05-01 07:49:00
USER_2113,3,224.14,74.71,139.81,55757.81,3,100.0,33.33,0.0,10.0,2.67,2199.41,2,2,3,2023-02-25 00:54:00,2023-12-31 16:28:00
USER_2166,3,1004.59,334.86,659.21,42697.02,3,100.0,0.0,33.33,9.67,2.67,3943.46,2,1,2,2023-01-15 07:25:00,2023-10-15 07:02:00
USER_2187,3,272.87,90.96,121.95,60983.38,3,100.0,33.33,0.0,9.0,4.0,1149.57,3,1,3,2023-01-22 08:53:00,2023-12-15 08:30:00
USER_2336,3,382.42,127.47,164.77,72102.31,3,100.0,0.0,0.0,3.33,4.0,3713.53,3,3,3,2023-06-17 18:28:00,2023-12-18 03:34:00
USER_2978,3,196.12,65.37,99.68,34211.48,3,100.0,0.0,0.0,8.0,3.0,3178.22,2,3,3,2023-01-22 04:11:00,2023-06-03 15:28:00
USER_3174,3,171.15,57.05,76.51,68444.16,3,100.0,0.0,0.0,6.67,3.0,1892.02,2,2,3,2023-07-05 14:03:00,2023-09-28 12:40:00
USER_3636,3,94.52,31.51,50.02,33600.47,3,100.0,33.33,0.0,7.0,3.0,1432.6,3,1,2,2023-02-17 17:40:00,2023-04-28 22:09:00
