feature_set,feature,included
benchmark_with_failed_count,transaction_amount,True
benchmark_with_failed_count,transaction_type,True
benchmark_with_failed_count,account_balance,True
benchmark_with_failed_count,device_type,True
benchmark_with_failed_count,location,True
benchmark_with_failed_count,merchant_category,True
benchmark_with_failed_count,ip_address_flag,True
benchmark_with_failed_count,previous_fraudulent_activity,True
benchmark_with_failed_count,daily_transaction_count,True
benchmark_with_failed_count,avg_transaction_amount_7d,True
benchmark_with_failed_count,failed_transaction_count_7d,True
benchmark_with_failed_count,card_type,True
benchmark_with_failed_count,card_age,True
benchmark_with_failed_count,transaction_distance,True
benchmark_with_failed_count,authentication_method,True
benchmark_with_failed_count,is_weekend,True
benchmark_with_failed_count,month,True
benchmark_with_failed_count,day,True
benchmark_with_failed_count,hour,True
benchmark_with_failed_count,day_of_week,True
conservative_without_failed_count,transaction_amount,True
conservative_without_failed_count,transaction_type,True
conservative_without_failed_count,account_balance,True
conservative_without_failed_count,device_type,True
conservative_without_failed_count,location,True
conservative_without_failed_count,merchant_category,True
conservative_without_failed_count,ip_address_flag,True
conservative_without_failed_count,previous_fraudulent_activity,True
conservative_without_failed_count,daily_transaction_count,True
conservative_without_failed_count,avg_transaction_amount_7d,True
conservative_without_failed_count,card_type,True
conservative_without_failed_count,card_age,True
conservative_without_failed_count,transaction_distance,True
conservative_without_failed_count,authentication_method,True
conservative_without_failed_count,is_weekend,True
conservative_without_failed_count,month,True
conservative_without_failed_count,day,True
conservative_without_failed_count,hour,True
conservative_without_failed_count,day_of_week,True
