transaction_amount,transaction_type,account_balance,device_type,location,merchant_category,ip_address_flag,previous_fraudulent_activity,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,is_weekend,year,month,day,hour,day_of_week,actual_fraud_label,logistic_regression_balanced_pred,logistic_regression_balanced_fraud_probability,random_forest_pred,random_forest_fraud_probability,random_forest_balanced_pred,random_forest_balanced_fraud_probability,xgboost_weighted_pred,xgboost_weighted_fraud_probability,model_risk_score,scored_transaction_id,risk_level,recommended_action
36.91,POS,27861.91,Tablet,Sydney,Travel,0,0,13,103.37,4,Mastercard,232,2192.1,OTP,1,2023,1,9,15,0,1,1,0.8086105729443015,1,0.9105628958463224,1,0.8954119843170765,1,0.99978286,91.05628958463224,SCORED_TXN_09199,High,Manual Review / Alert
83.78,Bank Transfer,4237.17,Mobile,New York,Restaurants,0,1,2,364.05,4,Mastercard,50,2953.33,Password,0,2023,5,10,4,2,1,1,0.8053880630127581,1,0.9085241322357368,1,0.8715974610951658,1,0.9997764,90.85241322357368,SCORED_TXN_05883,High,Manual Review / Alert
50.94,Online,69735.15,Tablet,Mumbai,Clothing,0,0,13,51.46,4,Amex,31,3320.42,PIN,0,2023,7,28,13,4,1,1,0.8122569921055424,1,0.907260777260678,1,0.8816840168781049,1,0.9997836,90.7260777260678,SCORED_TXN_09543,High,Manual Review / Alert
63.85,Bank Transfer,13306.11,Tablet,New York,Restaurants,1,0,10,101.67,4,Visa,112,1051.66,Password,1,2023,3,16,9,3,1,1,0.8039098158801122,1,0.9049541073399556,1,0.9138846037664412,1,0.9997689,90.49541073399556,SCORED_TXN_03578,High,Manual Review / Alert
290.29,Online,73781.65,Tablet,London,Restaurants,0,0,9,205.67,4,Mastercard,201,228.23,PIN,0,2023,9,16,5,5,1,1,0.8078343251622279,1,0.903198715900102,1,0.9025160807236516,1,0.9997907,90.31987159001021,SCORED_TXN_02398,High,Manual Review / Alert
41.9,ATM Withdrawal,30477.23,Mobile,Tokyo,Clothing,0,0,13,48.59,4,Visa,217,1995.45,OTP,0,2023,12,20,9,2,1,1,0.8024802711133767,1,0.902826686019653,1,0.9134192954253332,1,0.99978,90.2826686019653,SCORED_TXN_06497,High,Manual Review / Alert
29.87,POS,52469.64,Tablet,London,Electronics,0,0,12,135.86,4,Amex,168,3229.3,OTP,0,2023,11,1,17,2,1,1,0.803032246109498,1,0.9025213999644954,1,0.893950173160144,1,0.99976414,90.25213999644954,SCORED_TXN_06955,High,Manual Review / Alert
35.48,ATM Withdrawal,47371.91,Laptop,New York,Electronics,0,0,14,190.61,4,Discover,20,2407.72,Password,0,2023,7,15,17,5,1,1,0.8116823825975444,1,0.9015590659115568,1,0.9024964444646598,1,0.9997949,90.15590659115567,SCORED_TXN_07689,High,Manual Review / Alert
131.47,ATM Withdrawal,96436.96,Laptop,New York,Clothing,0,0,14,296.85,4,Amex,150,180.31,OTP,0,2023,2,7,14,1,1,1,0.8027173561670602,1,0.9015011724073744,1,0.8819575313361855,1,0.9997824,90.15011724073744,SCORED_TXN_09687,High,Manual Review / Alert
264.56,POS,60516.06,Tablet,Sydney,Restaurants,0,1,12,104.66,4,Mastercard,130,182.31,Password,0,2023,11,19,16,6,1,1,0.8012956971274089,1,0.8999092367371443,1,0.8956786257288963,1,0.9997694,89.99092367371443,SCORED_TXN_07737,High,Manual Review / Alert
30.83,Online,95849.06,Tablet,New York,Groceries,0,0,11,448.88,4,Mastercard,62,1602.91,Password,1,2023,10,20,4,4,1,1,0.8033578286416146,1,0.8982886247684336,1,0.9004881932815894,1,0.99978536,89.82886247684337,SCORED_TXN_01060,High,Manual Review / Alert
29.54,ATM Withdrawal,40610.02,Laptop,Mumbai,Electronics,1,0,1,46.73,4,Discover,27,1043.35,Password,0,2023,11,2,3,3,1,1,0.8003610203885356,1,0.8981149567097952,1,0.9271036760710296,1,0.9997677,89.81149567097953,SCORED_TXN_02175,High,Manual Review / Alert
71.49,Online,18888.62,Mobile,New York,Restaurants,0,0,11,114.23,4,Visa,21,2898.0,OTP,1,2023,11,23,17,3,1,1,0.8157464353629091,1,0.898104815310797,1,0.902454141714374,1,0.99978524,89.8104815310797,SCORED_TXN_05412,High,Manual Review / Alert
26.38,Online,90780.34,Laptop,Tokyo,Travel,0,0,8,314.13,4,Mastercard,233,3413.24,PIN,0,2023,9,15,12,4,1,1,0.8049683237592445,1,0.8980968118456243,1,0.926685831312062,1,0.99978274,89.80968118456244,SCORED_TXN_08332,High,Manual Review / Alert
15.76,ATM Withdrawal,95176.56,Laptop,New York,Groceries,0,0,12,230.77,4,Amex,63,1152.3,PIN,0,2023,11,22,7,2,1,1,0.7992201511281638,1,0.8958893548925834,1,0.8893123820080983,1,0.9997658,89.58893548925833,SCORED_TXN_01476,High,Manual Review / Alert
21.26,ATM Withdrawal,41194.98,Mobile,Tokyo,Restaurants,0,0,12,243.56,4,Mastercard,147,501.94,PIN,1,2023,6,6,4,1,1,1,0.801329606710241,1,0.8958288857510882,1,0.9106095709400024,1,0.99977845,89.58288857510883,SCORED_TXN_06606,High,Manual Review / Alert
130.4,POS,87032.32,Laptop,London,Electronics,0,0,13,114.14,4,Amex,8,2563.59,OTP,0,2023,9,10,6,6,1,1,0.7927452100434333,1,0.8942844466410106,1,0.8768496913373423,1,0.9997814,89.42844466410106,SCORED_TXN_09738,High,Manual Review / Alert
127.46,Online,27344.86,Laptop,New York,Electronics,1,0,13,461.16,4,Amex,176,4264.92,OTP,1,2023,10,5,5,3,1,1,0.8046966040587765,1,0.8940855368989225,1,0.8741296645042673,1,0.99977154,89.40855368989224,SCORED_TXN_04558,High,Manual Review / Alert
89.03,POS,96899.82,Mobile,Mumbai,Groceries,0,0,5,338.34,4,Mastercard,14,296.3,PIN,0,2023,11,29,4,2,1,1,0.7883019388024323,1,0.8933939140834756,1,0.8801506571798448,1,0.9997937,89.33939140834755,SCORED_TXN_06271,High,Manual Review / Alert
44.26,POS,65685.8,Laptop,London,Clothing,0,0,11,160.89,4,Amex,200,2376.4,Biometric,1,2023,1,20,5,4,1,1,0.7993078513837515,1,0.8932173061662427,1,0.8807539637190971,1,0.9997782,89.32173061662428,SCORED_TXN_01401,High,Manual Review / Alert
21.97,Online,28194.3,Mobile,Tokyo,Groceries,0,0,2,421.51,4,Visa,111,2905.92,OTP,0,2023,4,18,23,1,1,1,0.8103788219294337,1,0.8930717609398369,1,0.8711469865630619,1,0.99977833,89.30717609398368,SCORED_TXN_03597,High,Manual Review / Alert
197.65,POS,29801.64,Mobile,London,Groceries,0,0,12,318.72,4,Discover,182,4089.69,OTP,0,2023,1,21,19,5,1,1,0.8131784458664065,1,0.8926418305791065,1,0.8841534116244018,1,0.9997763,89.26418305791066,SCORED_TXN_01704,High,Manual Review / Alert
83.19,ATM Withdrawal,26042.6,Tablet,London,Restaurants,0,0,10,349.39,4,Mastercard,69,4030.54,Biometric,0,2023,7,8,5,5,1,1,0.8228852107505028,1,0.8919711835220023,1,0.9179613598724146,1,0.99978024,89.19711835220023,SCORED_TXN_06128,High,Manual Review / Alert
9.56,Bank Transfer,43704.2,Laptop,New York,Groceries,0,0,10,129.33,4,Mastercard,168,2031.2,Password,1,2023,3,22,6,2,1,1,0.8016898818623844,1,0.8918920789986537,1,0.9084350597699714,1,0.99975556,89.18920789986538,SCORED_TXN_08206,High,Manual Review / Alert
39.97,POS,5507.5,Mobile,New York,Travel,0,0,14,168.27,4,Amex,126,2308.24,Password,1,2023,7,31,1,0,1,1,0.7962273201571292,1,0.8916123083743198,1,0.8788610400354604,1,0.99978465,89.16123083743199,SCORED_TXN_08389,High,Manual Review / Alert
11.45,Bank Transfer,55318.77,Tablet,London,Restaurants,0,0,13,174.96,4,Amex,237,1999.99,OTP,0,2023,5,27,0,5,1,1,0.818347381355043,1,0.8913303391957081,1,0.8962661489278543,1,0.99977666,89.13303391957082,SCORED_TXN_03385,High,Manual Review / Alert
18.8,Online,42262.52,Laptop,New York,Clothing,0,0,8,310.26,4,Amex,239,3029.28,Biometric,0,2023,10,20,9,4,1,1,0.8161544389889634,1,0.8905362926936617,1,0.9139487777512838,1,0.99979264,89.05362926936617,SCORED_TXN_00714,High,Manual Review / Alert
13.16,Online,5012.54,Laptop,Mumbai,Electronics,0,0,14,167.5,4,Amex,147,3059.25,PIN,0,2023,2,1,15,2,1,1,0.8056471604650689,1,0.890513060126226,1,0.908522632474196,1,0.99976677,89.0513060126226,SCORED_TXN_03279,High,Manual Review / Alert
45.72,ATM Withdrawal,66716.16,Tablet,Tokyo,Groceries,0,0,12,490.2,4,Mastercard,58,1158.0,OTP,0,2023,11,29,18,2,1,1,0.8137729461649306,1,0.8900855071919077,1,0.8858594498797696,1,0.999782,89.00855071919077,SCORED_TXN_04751,High,Manual Review / Alert
28.61,Online,5318.39,Laptop,Tokyo,Travel,0,0,13,219.61,4,Amex,154,4146.5,Password,0,2023,3,7,3,1,1,1,0.8018246467795831,1,0.8898820905226891,1,0.8836238954781389,1,0.9997682,88.98820905226891,SCORED_TXN_03402,High,Manual Review / Alert
69.71,ATM Withdrawal,68465.26,Mobile,Tokyo,Groceries,0,1,12,468.53,4,Amex,63,3206.8,OTP,0,2023,6,9,22,4,1,1,0.8055957909608296,1,0.8892260536116386,1,0.887531667035433,1,0.9997719,88.92260536116386,SCORED_TXN_01504,High,Manual Review / Alert
115.34,POS,92941.37,Tablet,Tokyo,Electronics,0,0,2,398.4,4,Discover,16,3186.77,OTP,1,2023,2,6,3,0,1,1,0.7984769539634778,1,0.8891627305047447,1,0.8861381347808863,1,0.99976844,88.91627305047447,SCORED_TXN_03621,High,Manual Review / Alert
13.69,ATM Withdrawal,84782.49,Mobile,New York,Restaurants,0,0,5,78.43,4,Mastercard,106,3061.85,Password,0,2023,11,15,21,2,1,1,0.8172621785990541,1,0.8885907225884212,1,0.8973190212734086,1,0.99975926,88.85907225884212,SCORED_TXN_07717,High,Manual Review / Alert
119.94,Bank Transfer,9426.99,Tablet,London,Electronics,0,0,9,280.9,4,Visa,199,3405.97,OTP,0,2023,1,4,3,2,1,1,0.802530319048228,1,0.8884762817767322,1,0.8821324930347298,1,0.9997732,88.84762817767322,SCORED_TXN_06664,High,Manual Review / Alert
20.85,ATM Withdrawal,38321.12,Tablet,New York,Travel,0,0,14,463.35,4,Visa,84,1908.54,Password,0,2023,3,22,21,2,1,1,0.810555344078604,1,0.8883513605085595,1,0.8944397019494086,1,0.9997632,88.83513605085595,SCORED_TXN_00676,High,Manual Review / Alert
93.25,Online,36358.78,Laptop,Tokyo,Restaurants,0,0,8,461.56,4,Amex,197,1112.56,OTP,0,2023,7,2,19,6,1,1,0.8194718727930751,1,0.8883512581967328,1,0.8940479893981382,1,0.9997843,88.83512581967328,SCORED_TXN_04874,High,Manual Review / Alert
56.31,ATM Withdrawal,82968.39,Tablet,Mumbai,Restaurants,0,0,3,51.79,4,Mastercard,32,1342.69,PIN,0,2023,9,22,7,4,1,1,0.8178228336305704,1,0.8881493867524866,1,0.8989951514915407,1,0.9997856,88.81493867524865,SCORED_TXN_09181,High,Manual Review / Alert
76.95,POS,2870.97,Mobile,Sydney,Groceries,0,0,8,308.44,4,Mastercard,42,3317.5,Password,0,2023,12,5,2,1,1,1,0.7931495248615926,1,0.887713086686399,1,0.8953597510889095,1,0.9997707,88.7713086686399,SCORED_TXN_05014,High,Manual Review / Alert
119.33,ATM Withdrawal,12456.27,Tablet,Mumbai,Electronics,0,0,12,49.73,4,Mastercard,153,534.37,Password,0,2023,5,5,16,4,1,1,0.8109903270331941,1,0.887602280526533,1,0.8919375363029757,1,0.99976677,88.7602280526533,SCORED_TXN_02002,High,Manual Review / Alert
133.43,Online,88416.65,Tablet,London,Restaurants,0,0,5,324.28,4,Mastercard,59,670.57,Biometric,0,2023,7,20,3,3,1,1,0.8117540860030508,1,0.8870617476381321,1,0.9249310495632342,1,0.99979,88.70617476381321,SCORED_TXN_01992,High,Manual Review / Alert
105.14,POS,25564.64,Tablet,Sydney,Electronics,0,1,4,243.03,4,Discover,24,94.03,PIN,0,2023,3,19,0,6,1,1,0.7985103336556443,1,0.8869420496783695,1,0.8676719779296772,1,0.9997856,88.69420496783695,SCORED_TXN_06600,High,Manual Review / Alert
36.07,Bank Transfer,59178.45,Laptop,New York,Groceries,0,0,11,234.27,4,Discover,142,2356.75,OTP,0,2023,12,8,2,4,1,1,0.8062557844542013,1,0.8869107286292466,1,0.9120864306110222,1,0.99977,88.69107286292466,SCORED_TXN_04800,High,Manual Review / Alert
170.26,Bank Transfer,29500.42,Tablet,New York,Travel,0,0,11,262.99,4,Mastercard,197,2402.64,Password,0,2023,12,20,15,2,1,1,0.8101570486165479,1,0.8866900843802192,1,0.9110913571405532,1,0.9997658,88.66900843802192,SCORED_TXN_04685,High,Manual Review / Alert
67.95,Bank Transfer,95171.43,Tablet,New York,Restaurants,0,0,5,423.86,4,Mastercard,72,2508.32,PIN,1,2023,3,18,11,5,1,1,0.8163399352455224,1,0.8863611737024051,1,0.9329080460266262,1,0.9997743,88.63611737024051,SCORED_TXN_00242,High,Manual Review / Alert
31.63,POS,12653.83,Tablet,New York,Travel,0,0,12,263.36,4,Visa,134,1111.27,Password,0,2023,9,12,13,1,1,1,0.7947916461313036,1,0.886348266399206,1,0.921030756963887,1,0.9997689,88.6348266399206,SCORED_TXN_04467,High,Manual Review / Alert
68.15,POS,83307.73,Mobile,Mumbai,Clothing,0,0,14,385.28,4,Discover,156,556.19,PIN,0,2023,2,16,16,3,1,1,0.7963823296533383,1,0.8861842715957631,1,0.896217944778296,1,0.99976045,88.61842715957631,SCORED_TXN_07675,High,Manual Review / Alert
4.08,Bank Transfer,16629.73,Mobile,New York,Electronics,0,0,5,172.98,4,Discover,40,421.45,PIN,1,2023,8,18,3,4,1,1,0.8043462605880095,1,0.8859288864420537,1,0.916183194998719,1,0.9997713,88.59288864420537,SCORED_TXN_06639,High,Manual Review / Alert
16.97,Bank Transfer,58283.35,Mobile,New York,Electronics,0,0,7,380.45,4,Visa,129,2522.2,Password,1,2023,12,22,10,4,1,1,0.7977592335807023,1,0.8857810145773631,1,0.8941850105163531,1,0.999777,88.57810145773631,SCORED_TXN_03275,High,Manual Review / Alert
133.31,Online,92669.98,Laptop,London,Restaurants,0,1,11,149.26,4,Discover,56,626.8,Password,0,2023,9,18,10,0,1,1,0.7933519267689277,1,0.8857492716050223,1,0.9034580084918716,1,0.9997954,88.57492716050223,SCORED_TXN_04115,High,Manual Review / Alert
